商务与经济统计,9.3,105,108.0,安德森(AndersonDR.)、斯威尼(SweeneyDJ.)、威廉斯(WilliamsTA.),机械工业出版社,https://book.douban.com/subject/10557289/
深入搜索引擎,8.1,89,79.0,ianH.Witten、AlistairMoffat、TimothyC.Bell,电子工业出版社,https://book.douban.com/subject/3729518/
超级数字天才,7.2,92,35.0,伊恩·艾瑞斯,中国青年出版社,https://book.douban.com/subject/3187204/
写给程序员的数据挖掘实践指南,7.6,49,59.0,[美]RonZacharski,人民邮电出版社,https://book.douban.com/subject/26652166/
数据科学入门,6.9,38,69.0,[美]JoelGrus,人民邮电出版社,https://book.douban.com/subject/26741078/
谁说菜鸟不会数据分析（工具篇）,7.1,169,49.0,张文霖，狄松，林凤琼等,电子工业出版社,https://book.douban.com/subject/24715620/
信用风险评分卡研究,8.4,37,58.0,马杜姆.雷法特,社会科学文献出版社,https://book.douban.com/subject/25812550/
R和Ruby数据分析之旅,8.6,65,45.0,（新加坡）SauSheongChang,人民邮电出版社,https://book.douban.com/subject/21372236/
数据挖掘技术,8.1,43,79.8,GordonS.Linoff、MichaelJ.A.Berry,清华大学出版社,https://book.douban.com/subject/22226818/
机器学习与R语言,8.4,32,69.0,BrettLantz,机械工业出版社,https://book.douban.com/subject/26409413/
深入解析SAS,8.8,21,99.0,徐唯、潘红莲、林建伟,机械工业出版社,https://book.douban.com/subject/26318340/
大数据日知录,8.1,186,69.0,张俊林,电子工业出版社,https://book.douban.com/subject/25984046/
精益数据分析,8.2,411,79.0,[加]阿利斯泰尔·克罗尔、[加]本杰明·尤科维奇,人民邮电出版社,https://book.douban.com/subject/26278639/
Hive编程指南,7.4,105,69.0,卡普廖洛(EdwardCapriolo)、万普勒(DeanWampler)、卢森格林(JasonRutherglen),人民邮电出版社,https://book.douban.com/subject/25791255/
干净的数据：数据清洗入门与实践,6.0,20,49.0,[美]MeganSquire,人民邮电出版社,https://book.douban.com/subject/26781011/
机器学习,7.3,13,79.0,弗拉赫(PeterFlach),人民邮电出版社,https://www.douban.com/accounts/login?source=book
Spark机器学习,7.5,66,59.0,彭特里思(NickPentreath),人民邮电出版社,https://book.douban.com/subject/26593179/
大数据智能,7.2,77,49.0,刘知远、崔安颀,电子工业出版社,https://book.douban.com/subject/26713254/
模式识别,8.3,57,75.0,(希)SergiosTheodoridis、(希)KonstantinosKoutroumbas,电子工业出版社,https://book.douban.com/subject/4603803/
全栈数据之门,7.8,17,79.0,任柳江,电子工业出版社,https://book.douban.com/subject/26998034/
网站数据挖掘与分析,7.6,22,89.0,宋天龙,机械工业出版社,https://book.douban.com/subject/26341867/
Python金融大数据分析,7.7,65,99.0,[德]伊夫·希尔皮斯科,人民邮电出版社,https://book.douban.com/subject/26670241/
SSA：用户搜索心理与行为分析,8.7,17,59.0,[美]罗森菲尔德（LouisRosenfeld）,清华大学出版社,https://book.douban.com/subject/25861848/
数据科学中的R语言,8.8,38,79.0,李舰、肖凯,西安交通大学出版社,https://book.douban.com/subject/26576631/
社会媒体挖掘,8.4,12,59.0,扎法拉尼(RezaZafarani)、阿巴西(MohammadAliAbbasi)、刘(HuanLiu),人民邮电出版社,https://book.douban.com/subject/26657944/
社会网络分析,7.1,54,59.0,MaksimTsvetovat、AlexanderKouznetsov,机械工业出版社,https://book.douban.com/subject/24745216/
SPSS统计分析基础教程,8.5,57,39.0,张文彤、邝春伟,高等教育出版社,https://book.douban.com/subject/7161527/
用户网络行为画像,7.4,22,59.0,牛温佳、刘吉强、石川、等,电子工业出版社,https://book.douban.com/subject/26762081/
SAS编程与数据挖掘商业案例,7.7,55,42.0,姚志勇,机械工业出版社,https://book.douban.com/subject/4853379/
数据挖掘十大算法,7.8,24,39.0,（美）吴信东（XindongWu）、（美），库玛尔，（VipinKumar）,清华大学出版社,https://book.douban.com/subject/24735417/
Web数据挖掘,7.7,101,49.0,刘兵,清华大学出版社,https://book.douban.com/subject/3639345/
统计学,8.3,176,52.0,"[美]GudmundR.Iversen,MaryGerge",高等教育出版社；施普林格出版社,https://book.douban.com/subject/1230154/
高效商业分析——Excel建模与决策,9.2,17,98.0,[美]JamesR.Evans（詹姆斯.R.埃文斯）,电子工业出版社,https://book.douban.com/subject/26468881/
Web数据挖掘:将客户数据转化为客户价值,6.9,60,45.0,GordonS.linoff、Michaelj.a.berry,电子工业出版社,https://book.douban.com/subject/1216773/
驾驭大数据,6.4,151,49.0,BillFranks,人民邮电出版社,https://book.douban.com/subject/20471318/
统计学（第三版）,8.6,37,39.0,吴喜之编著,中国统计出版社,https://book.douban.com/subject/4605951/
社会计算,7.6,22,35.0,LeiTang、HuanLiu,机械工业出版社,https://book.douban.com/subject/20382134/
数据掘金,6.9,51,65.0,谭磊,电子工业出版社,https://book.douban.com/subject/24718711/
数据挖掘中的新方法：支持向量机,8.0,43,53.0,邓乃扬、田英杰,科学出版社,https://book.douban.com/subject/1172178/
R数据可视化手册,9.1,72,89.0,[美]WinstonChang,人民邮电出版社,https://book.douban.com/subject/25873705/
自然语言处理综论,8.1,73,78.0,DanielJurafsky、JamesH.Martin,电子工业出版社,https://book.douban.com/subject/1390499/
商务智能,7.3,16,55.0,（美）EfraimTurban、（美）RameshSharda、（美）DursunDelen、（美）DavidKing,机械工业出版社,https://book.douban.com/subject/10484472/
Python数据分析实战,8.0,14,59.0,【意】内利,人民邮电出版社,https://book.douban.com/subject/26854249/
量化投资：数据挖掘技术与实践（MATLAB版）,7.1,11,88.0,卓金武、周英,电子工业出版社,https://www.douban.com/accounts/login?source=book
R语言与数据挖掘最佳实践和经典案例,7.4,298,49.0,(澳)YanchangZhao,机械工业出版社,https://book.douban.com/subject/25985523/
Python数据可视化编程实战,7.4,19,49.0,IgorMilovanovic,人民邮电出版社,https://book.douban.com/subject/26378430/
科学前沿图谱：知识可视化的探索（第二版）,8.4,10,128.0,陈超美著；陈悦等,科学出版社,https://book.douban.com/subject/25933808/
寻路大数据,7.9,20,59.0,MichaelManoochehri,电子工业出版社,https://book.douban.com/subject/26270372/
现实挖掘,6.6,26,32.0,内森·伊格尔(NathanEagle)、凯特·格林(KateGreene),中信出版社,https://book.douban.com/subject/26703542/
统计学方法与数据分析引论(上下),8.7,42,118.0,[美]R.L.奥特(R.LyamnOtt)、[美]M.朗格内克(MichaelLongnecker),科学出版社,https://book.douban.com/subject/1449834/
大数据的冲击,7.5,97,49.0,城田真琴,人民邮电出版社,https://book.douban.com/subject/24693051/
量化投资与对冲基金量化投资——策略与技术（典藏版）,6.7,21,118.0,丁鹏,电子工业出版社,https://book.douban.com/subject/25984057/
人人都是数据分析师,7.4,25,69.0,刘红阁、王淑娟、温融冰,人民邮电出版社,https://book.douban.com/subject/26657923/
SPSS其实很简单,8.5,117,39.0,罗纳德·D·约克奇(RonaldD.Yockey),中国人民大学出版社,https://book.douban.com/subject/4907691/
统计模型,7.8,32,45.0,弗里曼,机械工业出版社,https://book.douban.com/subject/4927631/
敏捷数据科学,6.4,23,49.0,[美]RussellJurne,电子工业出版社,https://book.douban.com/subject/25929433/
